url,title,program,target,researcher,priority,disclosed_at
https://bugcrowd.com/disclosures/51f047c6-6cd6-4c96-b064-d74104868d2e/reflected-xss-on-itims-bia-gov,Reflected XSS on itims.bia.gov,Bureau of Indian Affairs ,*.bia.gov,meeterpreeter,3,13 Aug 2026
https://bugcrowd.com/disclosures/4abc50f7-2400-475f-b126-822b9c19cea3/host-header-injection,Host Header Injection ,Bureau of Indian Affairs ,*.bia.gov,ChinmayNangia,5,13 Aug 2026
https://bugcrowd.com/disclosures/e6f7bf2e-9ac3-4f40-8f54-679cb8706c4b/server-side-errors,Server Side Errors,The Bureau of Indian Education Vulnerability Disclosure Program,www.bie.edu,mrnazu01,5,13 Aug 2026
https://bugcrowd.com/disclosures/585d9b4e-c301-4b68-8e55-1e21139d97bc/unauthenticated-mqtt-wildcard-board-leaks-all-pinboard-uuids-to-unauthorized-users,Unauthenticated MQTT Wildcard (board/#) Leaks All Pinboard UUIDs to Unauthorized Users,Opera Public Bug Bounty,*.opera.com,ty5ona,2,11 Aug 2026
https://bugcrowd.com/disclosures/18f49357-f70c-4f60-b2d1-e43a0dcddf2f/data-integrity-risk-pii-exposure-publicly-editable-opag-collaboration-document-google-sheets-via-science-nasa-gov,Data Integrity Risk & PII Exposure: Publicly Editable OPAG Collaboration Document (Google Sheets) via science.nasa.gov,National Aeronautics and Space Administration (NASA) - Vulnerability Disclosure Program,https://nasa.gov,Vansh_Rathore,5,31 Jul 2026
https://bugcrowd.com/disclosures/47e4872e-88bd-4dd2-b943-1b30f4d5b4ad/broken-link-hijacking-impersonation-on-jpl-nasa-gov-via-unregistered-facebook-url,Broken Link Hijacking (Impersonation) on jpl.nasa.gov via Unregistered Facebook URL,National Aeronautics and Space Administration (NASA) - Vulnerability Disclosure Program,https://nasa.gov,Vansh_Rathore,4,31 Jul 2026
https://bugcrowd.com/disclosures/bd8f2801-752f-45d7-86cf-090471b3bd29/access-to-nasa-slack-channel-vai-live-slack-invitation-link-https-join-slack-com-t-nasa-ammos-shared_invite-zt-1mlgmk5c2-mgqvsykzvruwrxy87fnqpw,Access To ( nasa slack channel ) Vai  Live Slack Invitation Link  ( https://join.slack.com/t/nasa-ammos/shared_invite/zt-1mlgmk5c2-MgqVSyKzVRUWrXy87FNqPw ),National Aeronautics and Space Administration (NASA) - Vulnerability Disclosure Program,https://nasa.gov,Kartik_tantubai,2,31 Jul 2026
https://bugcrowd.com/disclosures/1b144af2-15cf-4fab-bb05-ff9a768b3a91/data-sculptor-csv-expression-evaluation-leads-to-backend-rce-kubernetes-serviceaccount-token-disclosure-and-authenticated-kubernetes-control-plane-access,"Data-Sculptor CSV expression evaluation leads to backend RCE, Kubernetes serviceaccount token disclosure, and authenticated Kubernetes control-plane access",Atlassian,Rovo,MononcleMich,2,23 Jul 2026
https://bugcrowd.com/disclosures/7773707b-09b0-46ec-9891-682546e02434/reflected-xss-and-html-injection-on-cce-signin-gsfc-nasa-gov-via-popup_flag-parameter,Reflected XSS and HTML Injection on cce-signin.gsfc.nasa.gov via 'popup_flag' parameter,National Aeronautics and Space Administration (NASA) - Vulnerability Disclosure Program,https://nasa.gov,ItsS4LEH,4,23 Jul 2026
https://bugcrowd.com/disclosures/fd00af00-5511-4516-bfe7-c4ae38c52cd4/re-host-header-injection-leads-to-cookie-domain-manipulation-on-sealevel-nasa-gov,RE : Host Header Injection leads to Cookie Domain Manipulation on sealevel.nasa.gov,National Aeronautics and Space Administration (NASA) - Vulnerability Disclosure Program,https://nasa.gov,sanjay910,5,23 Jul 2026
