disclosure_report_url,title,program,target,researcher,priority,disclosed_at
/disclosures/51f047c6-6cd6-4c96-b064-d74104868d2e/reflected-xss-on-itims-bia-gov,Reflected XSS on itims.bia.gov,,*.bia.gov,,3,13 Aug 2026
/disclosures/4abc50f7-2400-475f-b126-822b9c19cea3/host-header-injection,Host Header Injection ,,*.bia.gov,,5,13 Aug 2026
/disclosures/e6f7bf2e-9ac3-4f40-8f54-679cb8706c4b/server-side-errors,Server Side Errors,,www.bie.edu,,5,13 Aug 2026
/disclosures/585d9b4e-c301-4b68-8e55-1e21139d97bc/unauthenticated-mqtt-wildcard-board-leaks-all-pinboard-uuids-to-unauthorized-users,Unauthenticated MQTT Wildcard (board/#) Leaks All Pinboard UUIDs to Unauthorized Users,,*.opera.com,,2,11 Aug 2026
/disclosures/18f49357-f70c-4f60-b2d1-e43a0dcddf2f/data-integrity-risk-pii-exposure-publicly-editable-opag-collaboration-document-google-sheets-via-science-nasa-gov,Data Integrity Risk & PII Exposure: Publicly Editable OPAG Collaboration Document (Google Sheets) via science.nasa.gov,,https://nasa.gov,,5,31 Jul 2026
/disclosures/47e4872e-88bd-4dd2-b943-1b30f4d5b4ad/broken-link-hijacking-impersonation-on-jpl-nasa-gov-via-unregistered-facebook-url,Broken Link Hijacking (Impersonation) on jpl.nasa.gov via Unregistered Facebook URL,,https://nasa.gov,,4,31 Jul 2026
/disclosures/bd8f2801-752f-45d7-86cf-090471b3bd29/access-to-nasa-slack-channel-vai-live-slack-invitation-link-https-join-slack-com-t-nasa-ammos-shared_invite-zt-1mlgmk5c2-mgqvsykzvruwrxy87fnqpw,Access To ( nasa slack channel ) Vai  Live Slack Invitation Link  ( https://join.slack.com/t/nasa-ammos/shared_invite/zt-1mlgmk5c2-MgqVSyKzVRUWrXy87FNqPw ),,https://nasa.gov,,2,31 Jul 2026
/disclosures/1b144af2-15cf-4fab-bb05-ff9a768b3a91/data-sculptor-csv-expression-evaluation-leads-to-backend-rce-kubernetes-serviceaccount-token-disclosure-and-authenticated-kubernetes-control-plane-access,"Data-Sculptor CSV expression evaluation leads to backend RCE, Kubernetes serviceaccount token disclosure, and authenticated Kubernetes control-plane access",,Rovo,,2,23 Jul 2026
/disclosures/7773707b-09b0-46ec-9891-682546e02434/reflected-xss-and-html-injection-on-cce-signin-gsfc-nasa-gov-via-popup_flag-parameter,Reflected XSS and HTML Injection on cce-signin.gsfc.nasa.gov via 'popup_flag' parameter,,https://nasa.gov,,4,23 Jul 2026
/disclosures/fd00af00-5511-4516-bfe7-c4ae38c52cd4/re-host-header-injection-leads-to-cookie-domain-manipulation-on-sealevel-nasa-gov,RE : Host Header Injection leads to Cookie Domain Manipulation on sealevel.nasa.gov,,https://nasa.gov,,5,23 Jul 2026
/disclosures/98a08457-4f9d-4d27-b7e2-daaa975a1a67/identity-theft-via-broken-link-hijacking-on-nasa-astronaut-news-release-page,Identity Theft via Broken Link Hijacking on NASA Astronaut News Release Page,,https://nasa.gov,,4,22 Jul 2026
/disclosures/a1363cea-d7c2-4e36-901d-cc25f0123c26/arbitrary-external-redirect-through-saml-relaystate-after-successful-authentication,Arbitrary External Redirect Through SAML RelayState After Successful Authentication,,https://nasa.gov,,4,22 Jul 2026
/disclosures/4b4a2cd5-2fee-4407-b09f-74c14a8257df/blind-sql-injection-in-search-functionality-leads-to-full-database-extraction,Blind SQL Injection in  Search Functionality Leads to Full Database Extraction,,https://nasa.gov,,1,22 Jul 2026
/disclosures/a9ba7ee3-bb0e-4945-9834-34171056a680/exposed-credentials-in-public-env-file-on-nasa-git-repository,Exposed Credentials in Public .env File on NASA Git Repository,,https://nasa.gov,,3,22 Jul 2026
/disclosures/c6b4ca39-0432-4180-995d-93ddec8ff614/critical-authentication-bypass-via-path-normalization-double-slash-on-live-nasa-modaps-okapi-production-instance,Critical Authentication Bypass via Path Normalization (Double Slash) on Live NASA MODAPS OKAPI Production Instance,,https://nasa.gov,,1,22 Jul 2026
/disclosures/88f21ab6-d1e0-453c-992a-1661d1be50a9/public-google-maps-api-key-on-www-globe-gov-allows-geocoding-api-calls-billable-use,Public Google Maps API key on www.globe.gov allows Geocoding API calls (billable use),,https://globe.gov/,,5,21 Jul 2026
/disclosures/0ecb51a3-2064-4f9d-aa19-aa7b6ae21812/blind-enumeration-of-private-card-names-via-sort-oracle-and-id-discovery,Blind Enumeration of Private Card Names via Sort Oracle and ID Discovery,,trello.com,,4,20 Jul 2026
/disclosures/058fc473-2bab-4bb8-86c9-22e64ef1d665/clickjacking-vulnerability-cdn-sit-earthdata-nasa-gov,Clickjacking Vulnerability – cdn.sit.earthdata.nasa.gov,,https://nasa.gov,,5,14 Jul 2026
/disclosures/bf1922fb-99d0-4d3b-b419-1728720d29ec/one-click-data-exfiltration-via-rovochatprompt-url-parameter-confluence-rovo,One-Click Data Exfiltration via rovoChatPrompt URL Parameter (Confluence / Rovo),,Rovo,,2,14 Jul 2026
/disclosures/e0f7b8d5-b90a-4a50-b531-2da37e802c84/unauthenticated-error-based-sql-injection-in-heasarc-w3browse-w3hdprods-pl,Unauthenticated Error-Based SQL Injection in HEASARC W3Browse w3hdprods.pl,,https://nasa.gov,,1,13 Jul 2026
/disclosures/6cf12025-6b26-4200-a820-0fa073d9d9f6/atlas-browser-fullscreen-toast-can-be-hidden-by-repeated-constraint-validation-popups,[Atlas Browser] Fullscreen Toast Can Be Hidden by Repeated Constraint Validation Popups,,Atlas,,4,9 Jul 2026
/disclosures/08b14f25-72b5-4d36-83a3-5aeb1e3f11cc/unauthenticated-disclosure-of-nasa-organizer-email-addresses-via-the-events-calendar-rest-api-cve-2025-9808,Unauthenticated Disclosure of NASA Organizer Email Addresses via The Events Calendar REST API (CVE-2025-9808),,https://nasa.gov,,5,9 Jul 2026
/disclosures/c20138e9-28af-423f-a92b-0a2a1f85b3b2/unauthenticated-access-to-mmgis-webhooks,Unauthenticated Access to MMGIS Webhooks,,https://nasa.gov,,2,7 Jul 2026
/disclosures/350eedae-27d6-4d94-a1aa-bec8fc480c69/external-smtp-submission-allows-unauthenticated-email-delivery-to-internal-nasa-domain-recipients-with-potential-for-spoofed-sender-identity-display,External SMTP submission allows unauthenticated email delivery to internal NASA domain recipients with potential for spoofed sender identity display,,,,3,7 Jul 2026
/disclosures/30a99b17-c10c-4afd-86b2-ed2a2c843e3f/broken-youtube-link-on-nasa-citizen-science-page-enables-potential-channel-impersonation-darkenergyexplorers,Broken YouTube Link on NASA Citizen Science Page Enables Potential Channel Impersonation (@DarkEnergyExplorers),,https://nasa.gov,,4,7 Jul 2026
/disclosures/8c0c8259-00ab-4b82-a995-e59dd9efa53c/reflected-xss-in-nasa-jpl-solar-system-simulator,Reflected XSS in NASA JPL Solar System Simulator,,https://nasa.gov,,3,7 Jul 2026
/disclosures/62588ff6-5ae0-444c-9b3b-bd40339c2033/exposed-next-js-build-artifacts-sensitive-configuration-disclosure,Exposed Next.js Build Artifacts & Sensitive Configuration Disclosure,,,,4,7 Jul 2026
/disclosures/e73a6c59-737f-48b1-9202-dae9aa49092d/cross-tenant-data-access-idor-and-information-disclosure-in-jira-custom-field-metadata-endpoint,Cross Tenant Data Access - IDOR and Information Disclosure in Jira Custom Field Metadata Endpoint,,Jira Software Cloud (bugbounty-test-<bugcrowd-name>.atlassian.net),,3,6 Jul 2026
/disclosures/940fd364-b42f-4c9a-9597-985cb2d83f2c/unauthorized-access-to-cross-tenant-data-1,Unauthorized Access to Cross Tenant Data - 1,,Confluence Cloud (bugbounty-test-<bugcrowd-name>.atlassian.net/wiki),,3,6 Jul 2026
/disclosures/10cb4a9f-9173-4aca-9429-1b994a6233e6/command-injection-via-unsanitized-filename-in-nasa-ocssw-matchup-tools,Command Injection via Unsanitized Filename in NASA OCSSW Matchup Tools,,,,1,2 Jul 2026
/disclosures/871d4c4e-ec99-437c-9df3-8f9425a82a44/insecure-direct-object-reference-idor-on-user-teams-management-exposing-internal-user-ids-and-school-organization-ids,Insecure Direct Object Reference (IDOR) on /user-teams-management exposing internal User IDs and School Organization IDs,,https://globe.gov/,,5,1 Jul 2026
/disclosures/c5f5891f-02d8-4889-97aa-dcddd6964cc7/application-level-dos-thread-exhaustion-via-integer-overflow-on-post-users-id-follows,Application-Level DoS (Thread Exhaustion) via Integer Overflow on POST /users/{id}/follows,,Genius.com,,4,30 Jun 2026
/disclosures/460e8d40-5bc0-4128-8567-1195a45f550a/session-not-invalidated-after-logout-allowing-session-reuse-server-side-also,Session Not Invalidated After Logout Allowing Session Reuse (Server-Side also),,Genius.com,,5,30 Jun 2026
/disclosures/121d979a-b47e-4b70-b464-eb6d0013a52b/public-exposure-of-nasa-center-staff-contact-information-arc-afrc-grc,"Public Exposure of NASA Center Staff Contact Information (ARC, AFRC, GRC)",,https://nasa.gov,,5,24 Jun 2026
/disclosures/7a58507e-7e62-42f3-bca1-5d04ada4249a/found-cve-2020-14179-information-disclosure-in-jira-sciencecloud-nasa-gov,Found CVE-2020-14179 information disclosure   in jira.sciencecloud.nasa.gov,,https://nasa.gov,,5,24 Jun 2026
/disclosures/fdb0f70d-1cb2-4709-ad64-78f078d8e2be/idor-broken-access-control-users-id-exposes-other-users-pii-and-password-hash-password_,IDOR / Broken Access Control: /users/{id} exposes other users’ PII and password hash (password_),,https://globe.gov/,,3,23 Jun 2026
/disclosures/72e039d9-7e6c-4548-b1c3-4e278e573c6e/unauthenticated-restricted-file-read-and-out-of-tree-file-disclosure-via-getvectorfile-php,Unauthenticated Restricted File Read and Out-of-Tree File Disclosure via GetVectorFile.php,,https://nasa.gov,,1,23 Jun 2026
/disclosures/00cb5011-6768-4b68-a4a2-6b48a9ae35b3/reflected-dom-xss-in-votable-viewer-leads-to-authenticated-ark-user-pii-exfiltration-via-same-origin-xhr,Reflected DOM XSS in VOTable Viewer leads to authenticated ARK user PII exfiltration via same-origin XHR,,https://nasa.gov,,3,17 Jun 2026
/disclosures/9bb2314b-2408-47df-b6c8-f36529b44fa8/reflected-xss-via-unquoted-html-attribute,Reflected XSS via Unquoted HTML Attribute,,https://nasa.gov,,3,17 Jun 2026
/disclosures/06a4cc5b-ce68-49a7-a262-aca70316ba5b/medium-public-exposure-of-staging-stac-api-test-datasets-keycloak-configuration-on-nasa-veda-platform,"Medium - Public Exposure of Staging STAC API, Test Datasets & Keycloak Configuration on NASA VEDA Platform",,,,5,12 Jun 2026
/disclosures/d854e13a-f8fb-47a1-bd86-93538c60f1c6/blind-boolean-based-sql-injection-in-label-parameter-allows-unauthenticated-database-enumeration,Blind Boolean-Based SQL Injection in label Parameter Allows Unauthenticated Database Enumeration,,https://nasa.gov,,1,12 Jun 2026
/disclosures/59c5a5c1-33e1-465b-9b20-6344d614dcbb/password-reset-token-exposed-via-unencrypted-http-edrn-labcas-jpl-nasa-gov,Password Reset Token Exposed via Unencrypted HTTP - edrn-labcas.jpl.nasa.gov,,https://nasa.gov,,4,12 Jun 2026
/disclosures/ff4614f2-3260-4653-ab10-16fccbb6bb58/login-bypass-leads-to-internal-information-disclosure,LOGIN BYPASS LEADS TO INTERNAL INFORMATION DISCLOSURE,,https://nasa.gov,,3,12 Jun 2026
/disclosures/ab0208c1-df67-47ac-a671-990ce55996d8/mass-pii-disclosure-emails-phones-via-insecure-direct-object-reference-idor-on-headless-api,Mass PII Disclosure (Emails/Phones) via Insecure Direct Object Reference (IDOR) on Headless API,,https://globe.gov/,,3,8 Jun 2026
/disclosures/7e877296-6344-4a91-9f28-8333f3a24e89/arbitrary-file-read-via-path-traversal-in-sdtp-file-download-endpoint,Arbitrary File Read via Path Traversal in SDTP File Download Endpoint,,https://nasa.gov,,,8 Jun 2026
/disclosures/1614d1e0-56a7-4fab-bfc9-c6e1ca37e3ee/path-traversal-in-ait-core-bsc-logger-via-unauthenticated-post-request,Path Traversal in AIT-Core BSC Logger via Unauthenticated POST Request,,,,1,8 Jun 2026
/disclosures/ab3fd857-030a-417c-9a34-62e2d6aba64b/internal-ip-address-and-verbose-server-version-disclosure-via-404-error-pages,Internal IP Address and Verbose Server Version Disclosure via 404 Error Pages,,https://globe.gov/,,5,8 Jun 2026
/disclosures/22e9ec10-434d-4097-98c2-7f60d6d64052/exposure-of-sensitive-but-unclassified-sbu-nasa-comsec-document-npr-1600-6a,Exposure of Sensitive But Unclassified (SBU) NASA COMSEC Document (NPR 1600.6A),,https://nasa.gov,,5,1 Jun 2026
/disclosures/413fb994-b051-4aaf-94fc-97eafac1b48e/exposed-wget-log-disclosing-internal-paths,Exposed wget-log Disclosing Internal Paths,,https://nasa.gov,,5,1 Jun 2026
/disclosures/d9b460c2-f9b1-4f8d-a0ec-3236f702dacf/remote-code-execution-rce-via-insecure-deserialization-in-nasa-gsfc-hplc-precision-analysis,Remote Code Execution (RCE) via Insecure Deserialization in NASA GSFC HPLC Precision Analysis,,,,1,29 May 2026
/disclosures/e083d54b-793b-4d3f-a50d-7a0d3f13d551/integer-overflow-to-heap-buffer-overflow-in-nasa-ion-dtn-startimportsession-libltpp-c-5781,Integer Overflow to Heap Buffer Overflow in NASA ION-DTN startImportSession — libltpP.c:5781,,,,3,29 May 2026
/disclosures/4d8f1660-3fb1-4f96-8607-d35b96341d68/nasa-hosted-training-pdf-exposes-hardcoded-credentials-and-insecure-credential-distribution,NASA-hosted Training PDF Exposes Hardcoded Credentials and Insecure Credential Distribution,,,,5,26 May 2026
/disclosures/ba2df973-58fc-48be-9fb2-8205cca4e7c0/broken-access-control-unauthenticated-mass-data-extraction-and-arbitrary-item-deletion,Broken Access Control: Unauthenticated Mass Data Extraction and Arbitrary Item Deletion,,https://nasa.gov,,2,22 May 2026
/disclosures/e97add76-3838-4d24-a86a-ae850003ad15/critical-csrf-vulnerability-exploiting-account-deletion-on-nasa-subscription-service,Critical CSRF Vulnerability Exploiting Account Deletion on NASA Subscription Service,,https://nasa.gov,,4,22 May 2026
/disclosures/5c4a754b-c7b7-441f-b3db-89e1c82c78dc/stored-cross-site-scripting-xss-via-arbitrary-file-upload,Stored Cross-Site Scripting (XSS) via Arbitrary File Upload,,https://globe.gov/,,2,22 May 2026
/disclosures/2863e2d5-4067-4e2d-9712-6ff3a9bc3495/public-exposure-of-not-for-public-release-nasa-smap-internal-document,Public Exposure of “Not for Public Release” NASA SMAP Internal Document,,https://nasa.gov,,5,20 May 2026
/disclosures/4f63c6af-68cf-4d58-a1c9-911fb8a202ad/authenticated-bfla-in-dirs-critical-need-of-help-api-allows-unauthorized-access-to-all-submitted-requests-and-pii,Authenticated BFLA in DIRS “Critical Need of Help” API Allows Unauthorized Access to All Submitted Requests and PII,,*.fcc.gov,,1,8 May 2026
/disclosures/479095d0-e0f9-4b8d-bd64-feda95bb6b17/authenticated-idor-in-dirs-users-api-allows-access-to-other-users-profiles-and-pii-production,Authenticated IDOR in DIRS Users API Allows Access to Other Users’ Profiles and PII (Production),,*.fcc.gov,,1,8 May 2026
/disclosures/6748232d-3c95-4ed1-99b4-2470788558bd/unlisted-nasa-task-book-projects-pdfs-accessible-via-predictable-taskid-idor-style-enumeration-unauthenticated,"Unlisted NASA Task Book Projects & PDFs Accessible via Predictable TASKID (IDOR-style Enumeration, Unauthenticated)",,,,5,7 May 2026
/disclosures/67b12410-5e35-46bb-8b33-f311c84fa794/view-user-voice-activity-status-without-sharing-mutual-server-channel-permission,View user voice activity status without sharing mutual server / channel permission,,Discord owned APIs and services,,3,7 May 2026
/disclosures/757bcc0b-fe6e-4eb0-b914-1bbbf8a3f057/sbn-client-stack-buffer-overflow-recv_msg-and-ingest_app_message, SBN-Client Stack Buffer Overflow — recv_msg() and ingest_app_message() ,,,,2,5 May 2026
/disclosures/45f480fc-8d68-41e3-8159-e3c32f335f07/reflected-html-injection-in-viewmissionprofile-jsp-allows-injection-of-arbitrary-html-elements,Reflected HTML Injection in viewMissionProfile.jsp allows injection of arbitrary HTML elements,,https://nasa.gov,,5,5 May 2026
/disclosures/713064c8-35c7-41ac-b6b3-443c1c9daeaa/unauthenticated-idor-on-users-api-leading-to-information-disclosure-of-internal-hostnames-and-pii,Unauthenticated IDOR on Users API leading to Information Disclosure of Internal Hostnames and PII,,https://nasa.gov,,3,29 Apr 2026
/disclosures/f216bea9-6119-448c-8b8a-ec66b50e0c58/malicious-handlebars-code-snippets-causing-discord-to-crash,Malicious Handlebars Code Snippets causing Discord to Crash,,Platform Access - Web App ,,2,28 Apr 2026
/disclosures/b080842d-1a0c-4eaa-9c91-989a01c48a54/source-code-and-internal-infrastructure-disclosure-via-publicly-exposed-gitlab-repository-on-git-smce-nasa-gov,Source Code and Internal Infrastructure Disclosure via Publicly Exposed GitLab Repository on git.smce.nasa.gov,,https://nasa.gov,,2,28 Apr 2026
/disclosures/9642be88-6d09-4ed1-83a4-3fb8c880c48c/expired-outdated-ssl-certificate,Expired / Outdated SSL Certificate,,,,5,24 Apr 2026
/disclosures/aaf069ae-4bde-4b3e-8647-225b0bff1b92/full-path-disclosure-and-verbose-error-messages-on-webdisks-jpl-nasa-gov,Full Path Disclosure and Verbose Error Messages on webdisks.jpl.nasa.gov,,https://nasa.gov,,5,24 Apr 2026
/disclosures/ba851df1-eb3e-4a82-a710-4e11144586b3/reflected-xss-with-cve-reference-cve-2025-0133,Reflected XSS with CVE Reference [CVE-2025-0133],,https://nasa.gov,,3,24 Apr 2026
/disclosures/23b25b7b-c81b-4bf9-8466-b1d798b8f517/authentication-bypass-on-nasa-csbf-platform,Authentication Bypass  on NASA CSBF Platform,,https://nasa.gov,,5,16 Apr 2026
/disclosures/89f78476-619f-4430-acdb-95e3217a403b/cve-2025-0133-reflected-xss,CVE-2025-0133 - Reflected XSS,,https://nasa.gov,,3,16 Apr 2026
/disclosures/1fa25156-f094-40f8-8569-028f9518d4aa/reflected-xss-in-nasa-vpn-portal,Reflected XSS in NASA VPN Portal,,https://nasa.gov,,3,16 Apr 2026
/disclosures/1fd1c5f8-5154-47ed-9e4e-5850b93791a7/cve-2025-0133-reflected-cross-site-scripting-xss-https-lasvpn-jpl-nasa-gov-https-pasvpn-jpl-nasa-gov-https-vpnc-mdscc-nasa-gov,"[CVE-2025-0133] Reflected Cross-Site Scripting (XSS) – https://lasvpn*.jpl.nasa.gov, https://pasvpn*.jpl.nasa.gov/ & https://vpnc.mdscc.nasa.gov/",,https://nasa.gov,,3,16 Apr 2026
/disclosures/1570570b-5149-493d-b6e3-1a162794ce78/internal-proprietary-financial-report-aepr-for-internal-use-publicly-accessible,"Internal Proprietary Financial Report (AEPR) for internal use, publicly accessible ",,https://nasa.gov,,4,16 Apr 2026
/disclosures/6f9e5cf2-23e8-474c-b402-7bf5ed0a8e52/unauthenticated-arbitrary-file-write-zip-slip-via-shapefile-clj-on-cmr-earthdata-nasa-gov,Unauthenticated Arbitrary File Write (Zip Slip) via shapefile.clj on cmr.earthdata.nasa.gov,,https://nasa.gov,,2,16 Apr 2026
/disclosures/7c9313ff-516f-4f8f-820f-eb693843f2b2/public-apache-server-status-endpoint-causes-sensitive-data-exposure-of-internal-system-information,Public Apache Server Status Endpoint Causes Sensitive Data Exposure of Internal System Information,,https://nasa.gov,,4,16 Apr 2026
/disclosures/efe6dc8e-7364-42c0-8467-2371d610d82a/vulnerability-report-broken-access-control-ongoing-project-publicly-editable-google-sheet-owned-by-senior-nasa-researcher,Vulnerability Report: Broken Access Control - Ongoing Project Publicly Editable Google Sheet Owned by Senior NASA Researcher ,,https://nasa.gov,,3,16 Apr 2026
/disclosures/f5c06fff-f298-49b7-84e1-cb8819cfb82f/public-access-to-ear-controlled-jwst-otis-cryogenic-test-document,Public Access to EAR-Controlled JWST OTIS Cryogenic Test Document,,https://nasa.gov,,4,31 Mar 2026
/disclosures/9dd67e52-baf8-4ba0-9fd5-40f11b7c858d/stored-xss-via-profile-picture-upload-on-genius-com,Stored XSS via profile picture upload on Genius.com,,Genius.com,,3,26 Mar 2026
/disclosures/b14596f7-3e6a-472b-9c0f-83996e53969a/critical-admin-access-vulnerability-on-nasa-s-satcorps-smce-nasa-gov-subdomain,Critical Admin Access Vulnerability on NASA’s *.satcorps.smce.nasa.gov Subdomain,,https://nasa.gov,,1,24 Mar 2026
/disclosures/7beb160b-96e8-4646-8ddb-f46cc0a3e9ec/phone-numbers-highschools-addresses-blanked-out-ssn-numbers-and-pii,"Phone Numbers, Highschools, Addresses, Blanked out SSN numbers, and PII",,https://nasa.gov,,5,23 Mar 2026
/disclosures/ac8d1f0e-c0cf-4784-97b2-ba10e7b49da4/authentication-bypass-session-created-for-nasa-sips-administrator-account-with-any-password,Authentication Bypass - Session Created for NASA SIPS Administrator Account with Any Password,,https://nasa.gov,,2,23 Mar 2026
/disclosures/ef50e1dd-1cc5-4c85-908d-cdc384a89bd3/internal-solr-query-injection-enabling-local-file-inclusion-and-potential-ssrf-on-trek-nasa-gov,Internal Solr Query Injection enabling Local FIle Inclusion and Potential SSRF on trek.nasa.gov,,https://nasa.gov,,1,23 Mar 2026
/disclosures/5889c7cb-88eb-4641-aa16-80ca787d4e1a/timing-based-email-enumeration-in-forgot-password-endpoint-my-nasa-gov,Timing-Based Email Enumeration in Forgot Password Endpoint (my.nasa.gov),,https://nasa.gov,,5,20 Mar 2026
